employee_id,salary,transaction_amount,vacation_days,return_rate,quantity,department,is_vacation_days_outlier,is_quantity_outlier
1,52437.74,286.74,25.0,18.17,5.0,Sales,False,False
2,41680.13,298.17,17.0,13.99,8.0,Engineering,False,False
3,56003.61,236.82,10.0,5.32,11.0,Marketing,False,False
4,57524.52,34.61,150.0,19.38,8.0,HR,True,False
5,34391.72,246.81,10.0,15.58,7.0,HR,False,False
6,347213.6062,290.87,21.0,14.34,15.0,Engineering,False,False
7,51022.72,244.41,8.0,8.99,3.0,Engineering,False,False
9,49865.59,613.785,8.0,1.93,9.0,Engineering,False,False
10,43175.65,53.15,0.0,18.05,8.0,Marketing,False,False
11,57035.18,90.87,2.0,9.12,13.0,Marketing,False,False
12,56222.34,24.23,2.0,4.05,5.0,Sales,False,False
13,3000.0,53.47,20.0,6.12,15.0,Sales,False,False
14,59017.93,283.01,18.0,11.58,5.0,HR,False,False
15,53740.07,613.785,18.0,3.54,980.0,Sales,False,True
16,43125.66,132.70999999999998,12.0,17.13,8.0,HR,False,False
17,52950.01,76.81,18.0,15.17,13.0,HR,False,False
18,42328.94,99.55,4.0,14.39,7.0,Sales,False,False
19,57027.6,92.27,95.0,8.64,5.0,Engineering,True,False
20,49600.59,45.93,13.0,12.55,1.0,HR,False,False
21,48521.1,236.67,24.0,11.68,6.0,Marketing,False,False
22,44552.56,295.17,3.0,13.0,13.0,Sales,False,False
23,59780.33,321.56,12.0,1.69,1.0,Marketing,False,False
24,48763.76,613.785,18.0,8.32,14.0,Marketing,False,False
25,46573.38,441.33,12.0,0.83,9.0,HR,False,False
26,47182.93,0.01,11.0,9.88,3.0,Sales,False,False
27,54258.47,228.7,4.0,6.6,5.0,HR,False,False
28,52923.55,138.5,9.0,2.89,9.0,HR,False,False
29,53301.86,28.89,6.0,2.07,5.0,Engineering,False,False
30,53446.57,211.32,7.0,11.75,750.0,Engineering,False,True
31,67133.18,144.28,17.0,3.41,10.0,Marketing,False,False
32,46748.68,321.59,16.0,18.5,11.0,Engineering,False,False
33,45902.06,425.6,15.0,11.62,2.0,Sales,False,False
35,54927.84,29.95,24.0,11.82,4.0,HR,False,False
36,59031.78,204.96,2.0,0.46,10.0,HR,False,False
37,49088.42,530.6800000000001,8.0,19.17,11.0,Engineering,False,False
38,43278.75,184.21,3.0,9.65,11.0,HR,False,False
39,43404.15,446.19,8.0,15.65,15.0,Engineering,False,False
40,55204.74,170.6,25.0,1.65,12.0,Marketing,False,False
